time,eeg-ch1,eeg-ch2,eeg-ch3,eeg-ch4,eeg-ch5,eeg-ch6,gyro-gyro1,gyro-gyro2,gyro-gyro3,acc-acc1,acc-acc2,acc-acc3,ppg-ambient,ppg-ir,ppg-red
5.06640625,676.1387045090408,676.5415426871136,1268.411535820554,1020.6157015335317,0.0,0.0,2181.3369982331337,-1744360.2264054806,24672.185380222425,88129.81738704475,64708.962022625674,971622.8602919088,33758024855.997356,23881838593.778618,93684373.90399222
5.0703125,1650.0,1650.0,124.12451361867703,5.664911879148575,0.0,0.0,-7306.960709963524,-1731078.3741688298,42376.82314485129,87628.06186838255,66045.46923912072,971981.0547179247,33761807315.014084,23885398941.471367,89241544.31282547
5.07421875,1650.0,1650.0,0.0,0.0,0.0,0.0,-14077.673041985963,-1724751.9147563467,47061.35915108078,87271.80880338894,67678.48428310621,972605.3664177553,33778280661.627605,23881211165.93564,85426520.49524404
5.078125,677.750057221332,678.1528953994048,646.3035019455252,779.2904554818036,0.0,0.0,-15885.881223000313,-1725331.8289751902,39243.25390577245,87238.46119421863,69056.72572007177,973433.1243799481,33800681818.87544,23871833936.064667,81921187.15192193
5.08203125,0.0,0.0,1650.0,1650.0,0.0,0.0,-12252.031578463419,-1730066.4020648755,23128.3326165643,87576.10264623529,69613.09820228702,974316.909336387,33819565810.85728,23862424353.3402,78050655.55564949
5.0859375,602.7969787136644,603.1998168917373,1495.6626230258637,1182.1789883268484,0.0,0.0,-4416.4732038696175,-1734537.0418945379,4983.111961197879,88179.98268770597,68984.07625387613,975050.3762492049,33826963173.91404,23858168602.308178,73492220.6692673
5.08984375,1617.7477683680477,1618.1506065461203,379.1714351110094,85.42687113756006,0.0,0.0,5250.2875304088375,-1734246.55056546,-9081.795679516401,88827.59708403664,67169.7061875889,975417.2881839663,33819730905.15526,23861706153.560287,68830089.99607633
5.09375,1650.0,1650.0,0.0,0.0,0.0,0.0,14127.243727093097,-1726216.5935542441,-15128.51569112543,89262.1566131726,64569.05795303029,975250.7691878049,33800681818.875427,23871833936.06467,65536949.72151423
5.09765625,844.5250629434654,844.5250629434654,676.5415426871136,631.3984893568322,0.0,0.0,20190.876533073275,-1710051.7240962032,-12518.588019452036,89295.04364344684,61871.01109644381,974485.6534053598,33777129852.07838,23884111615.44125,65272126.468767084
5.1015625,0.0,0.0,1650.0,1650.0,0.0,0.0,22559.25822671295,-1688114.5740772116,-3802.066958787063,88888.79670485234,59834.60513672189,973188.0042253401,33757641837.97873,23893025728.192062,68813900.60747814
